# Misurazione del campo di Hall in regime di campo magnetico costante
#
# B1 =          sB1 =         n1 = 9             I1 = 0.3 A
# B2 =          sB2 =         n2 = 9             I2 = 0.6 A
# B3 =          sB3 =         n3 = 9             I3 = 0.9 A
# B4 =          sB4 =         n4 = 9             I4 = 1.2 A
# B5 =          sB5 =         n5 = 9             I5 = 1.5 A
#
# Per ogni valore di campo magnetico fissato B1, B2, ... sono stati presi n1, n2, ... valori di corrente e tensione, per
# entrambe le polarità del campo magnetico. I dati relativi alla polarità invertita sono inseriti ordinatamente dopo
# quelli con la prima polarità scelta
#
# Vanno aggunti dal main sVH1[mV] ed si1[mA]
#
#   IDM 103N Datasheet (Amperometro): https://www.sglabs.it/public/Iso-Tech_IDM103N.pdf
#
VH1[mV]         i1[mA]		VH1_correct[mV]		sVH1[mV]		si1[mA]		sVH1_correct[mV]
-6.613          -8.00  			-4.66075			-0.13226			0.022			0.132884
-4.634          -6.00  			-3.17097			-0.09268			0.024			0.0933096
-3.103          -4.00  			-2.12918			-0.06206			0.026			0.0627375
-1.577          -2.00  			-1.09239			-0.03154			0.028			0.0325985
-0.045          0.00  			-0.0496077			-0.0009			0.03			0.00824238
1.483           2.00  			0.989179			0.02966			0.032			0.0310156
3.012           4.00  			2.02897			0.06024			0.034			0.0611729
4.543           6.00  			3.07075			0.09086			0.036			0.0917372
6.077           8.00  			4.11554			0.12154			0.038			0.122454
-9.453          -8.0    			-7.50075			-0.18906			0.022			0.189497
-7.100          -6.0    			-5.63697			-0.142			0.024			0.142412
-4.747          -4.0    			-3.77318			-0.09494			0.026			0.0953843
-2.400          -2.0    			-1.91539			-0.048			0.028			0.0487021
-0.045          0.00  			-0.0496077			-0.0009			0.03			0.00824238
2.306           2.00  			1.81218			0.04612			0.032			0.0470033
4.653           4.00  			3.66997			0.09306			0.034			0.0936666
7.002           6.00  			5.52975			0.14004			0.036			0.140611
9.355           8.00  			7.39354			0.1871			0.038			0.187695
-13.010         -8.00  			-11.0578			-0.2602			0.022			0.260518
-9.769          -6.00  			-8.30597			-0.19538			0.024			0.195679
-6.530          -4.00  			-5.55618			-0.1306			0.026			0.130923
-3.286          -2.00  			-2.80139			-0.06572			0.028			0.0662345
-0.044          0.00  			-0.0486077			-0.00088			0.03			0.00824022
3.205           2.00  			2.71118			0.0641			0.032			0.0647384
6.450           4.00  			5.46697			0.129			0.034			0.129438
9.694           6.00  			8.22175			0.19388			0.036			0.194293
12.932          8.00  			10.9705			0.25864			0.038			0.259071
-16.178         -8.00  			-14.2258			-0.32356			0.022			0.323816
-12.148         -6.00  			-10.685			-0.24296			0.024			0.243201
-8.124          -4.00  			-7.15018			-0.16248			0.026			0.16274
-4.079          -2.00  			-3.59439			-0.08158			0.028			0.0819951
-0.044          0.00  			-0.0486077			-0.00088			0.03			0.00824022
